timestamp,model_name,prompt,prompt_tokens,completion_tokens,total_tokens,response_time_ms,tokens_per_second,temperature,cpu_model,cpu_cores,cpu_usage_percent,cpu_speed,total_memory_gb,memory_usage_percent,gpu_model,gpu_vendor,os
2025-03-13T03:55:14.032Z,hermes-3-llama-3.2-3b,My name is Jordan,158,15,173,8351,20.72,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,2.42,2496,16,84,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-13T03:55:50.640Z,hermes-3-llama-3.2-3b,The sky is green,158,25,183,3303,55.41,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,4.15,2496,16,84,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-13T04:18:25.475Z,hermes-3-llama-3.2-3b,Hello,155,2,157,573,274.08,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,3.09,2496,16,88,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-13T04:18:46.001Z,hermes-3-llama-3.2-3b,What is a list in Python?,513,45,558,13215,42.22,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,11.22,2496,16,87,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-13T04:20:20.258Z,hermes-3-llama-3.2-3b,Hello,155,2,157,4787,32.8,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,4.35,2496,16,89,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-13T04:23:34.317Z,hermes-3-llama-3.2-3b,Hi,155,2,157,659,238.11,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,4.22,2496,16,88,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-13T04:23:38.892Z,hermes-3-llama-3.2-3b,hi,155,2,157,666,235.61,0.5,12th Gen Intel(R) Core(TM) i7-1260P,16,7.15,2496,16,87,Intel(R) Iris(R) Xe Graphics,Intel Corporation,Windows_NT-10.0.22631
2025-03-17T19:45:38.289Z,hermes-3-llama-3.2-3b,Hello!,155,9,164,323,508.52,0.5,AMD Ryzen 5 5600 6-Core Processor,12,0,3500,32,77,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T19:53:14.530Z,hermes-3-llama-3.2-3b,Hi!,155,10,165,498,331.02,0.5,AMD Ryzen 5 5600 6-Core Processor,12,57.21,3500,32,76,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T20:11:23.101Z,hermes-3-llama-3.2-3b,What is python?,470,89,559,3391,164.83,0.5,AMD Ryzen 5 5600 6-Core Processor,12,0,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
